country,Region,Surface area,Population,"Population density","Sex ratio",GDP,"GDP growth rate",Economy,Agricultural,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"current accoun",Population growth rate,Urban population,Urban population growth rate,age distribution
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,23.3,125,125,1458,3568,-2110,-5121,3.2,26.7,4,43.2/4.1
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,22.4,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,17.4/19.0
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,12.2,160,161,29992,47091,-17099,-27229,2,70.7,2.8,29.3/9.4
American Samoa,Polynesia,199,56,278.2,103.6,-99,-99,-99,112,112,-99,-99,-99,-99,-~0.0,87.2,-0.1,33.3/9.0
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,0.5,-99,-99,100,1355,-1255,-99,-1.6,85.1,0.1,14.4/19.0
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,6.8,175,176,21011,8790,12221,-10273,3.5,44.1,5,46.8/4.0
Anguilla,Caribbean,91,15,165.7,97.6,320,2.9,2.3,-99,-99,2,154,-153,-48,1.2,100,1.2,23.3/7.6
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,4.1,1.9,88,88,61,491,-429,-204,1.1,23.8,-0.9,23.9/10.9
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,6,119,119,57733,55610,2124,-15944,1,91.8,1,24.9/15.4
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,19,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,20.0/16.9
Aruba,Caribbean,180,105,584.8,90.4,2702,0.1,0.5,-99,-99,95,1117,-1022,96,0.5,41.5,-0.3,17.9/19.7
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,2.5,111,111,189630,189406,224,-57746,1.5,89.4,1.5,19.0/21.0
Austria,WesternEurope,83871,8736,106,96.2,376967,1,1.3,108,108,145503,149299,-3795,7020,0.6,66,0.4,14.1/25.1
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,6.7,131,136,9143,8532,611,-222,1.3,54.6,1.6,23.3/10.1
Bahamas,Caribbean,13940,395,39.5,95.9,8854,-1.7,1.6,132,132,365,2904,-2539,-1409,1.4,82.9,1.5,20.5/13.5
